,Company,Sector,Index,Market Cap,Income,Sales,Book/sh,Cash/sh,Dividend,Dividend % %,Employees,Optionable,Shortable,Recom,P/E,Forward P/E,PEG,P/S,P/B,P/C,P/FCF,Quick Ratio,Current Ratio,Debt/Eq,LT Debt/Eq,SMA20 %,EPS (ttm),EPS next Y,EPS next Q,EPS this Y %,EPS next Y %,EPS next 5Y,EPS past 5Y %,Sales past 5Y %,Sales Q/Q %,EPS Q/Q %,Earnings,SMA50 %,Insider Own %,Insider Trans %,Inst Own %,Inst Trans %,ROA %,ROE %,ROI %,Gross Margin %,Oper. Margin %,Profit Margin %,Payout %,SMA200 %,Shs Outstand,Shs Float,Short Float %,Short Ratio,Target Price,52W Range,52W High %,52W Low %,RSI (14),Rel Volume,Avg Volume,Volume,Perf Week %,Perf Month %,Perf Quarter %,Perf Half Y %,Perf Year %,Perf YTD %,Beta,ATR,Volatility %,Prev Close,Price,Change %
AA,Alcoa Corporation,Basic Materials | Aluminum | USA,-,8650000000.0,963000000.0,13390000000.0,31.13,9.33,0.4,0.81,12200.0,Yes,Yes,2.1,9.72,6.92,-,0.65,1.58,5.28,7.75,1.0,1.8,0.3,0.3,-5.61,5.07,7.12,0.76,347.0,-1.4,-,24.8,5.5,28.6,81.5,Jul 20 Ae6C,1.66,0.2,0.0,86.2,-1.11,6.3,20.5,5.0,27.9,12.7,7.2,5.7,-19.89,182000000.0,173820000.0,4.5,1.33,58.22,39.56 - 98.09,-49.79,24.48,45.41,0.67,5870000.0,3947643.0,-11.8,2.93,-20.35,-45.68,4.99,-17.34,2.32,2.67,5.04 4.58,48.08,49.25,2.43
NIO,NIO Inc.,Consumer Cyclical | Auto Manufacturers | China,-,31390000000.0,-1089200000.0,5510000000.0,3.02,4.04,-,,15204.0,Yes,Yes,1.7,-,-,-,5.7,5.87,4.39,-,1.9,2.0,0.55,0.33,-10.73,-0.68,-1.09,-1.15,-41.7,70.1,,-14.4,,24.2,64.2,Sep 07 e9e6O,-13.67,0.47,0.0,37.6,0.64,-9.9,-25.2,-8.8,17.6,-16.8,-19.8,,-22.81,1620000000.0,1510000000.0,3.84,1.13,35.15,11.67 - 44.27,-59.95,51.93,35.78,0.85,51620000.0,43746280.0,-10.99,-15.17,-1.94,-4.83,-56.06,-44.03,1.96,1.14,5.60 5.55,18.79,17.73,-5.64
NIU,Niu Technologies,Consumer Cyclical | Auto Manufacturers | China,-,457220000.0,18000000.0,523500000.0,2.14,1.44,-,,702.0,Yes,Yes,1.6,27.41,7.01,6.65,0.87,2.52,3.75,-,1.3,1.7,0.27,0.0,-14.63,0.2,0.77,-,32.0,75.0,,23.0,59.9,-12.4,-84.1,Aug 15 e9e6O,-21.96,,,43.7,-3.07,5.1,9.9,9.9,20.6,2.4,3.4,0.0,-50.85,87930000.0,68570000.0,0.84,0.91,15.34,5.72 - 30.10,-82.06,-5.59,34.49,1.33,630900.0,837961.0,-12.05,-18.31,-28.1,-48.28,-80.99,-66.48,0.54,0.37,6.09 5.81,5.95,5.4,-9.24
NLOK,NortonLifeLock Inc.,Technology | Software - Infrastructure | USA,S&P 500,12900000000.0,855000000.0,2820000000.0,-0.52,2.29,0.5,2.19,2700.0,Yes,Yes,2.4,15.87,11.72,1.96,4.58,-,9.99,20.68,0.6,0.6,-,-,-3.03,1.44,1.95,0.45,21.9,6.86,,41.7,-7.0,3.1,8.1,Aug 04 Ae6C,-3.46,0.3,147.53,95.48,-4.75,12.8,-473.7,21.9,85.5,34.8,30.4,34.0,-10.09,578000000.0,569140000.0,3.17,3.06,26.76,21.55 - 30.92,-26.12,5.99,40.48,0.79,5890000.0,4652257.0,0.62,-14.14,-7.46,-21.75,-15.87,-12.09,0.67,0.57,2.05 2.40,22.58,22.84,1.15
NNDM,Nano Dimension Ltd.,Technology | Computer Hardware | Israel,-,715600000.0,-224600000.0,20100000.0,3.88,4.46,-,,345.0,Yes,Yes,2.0,-,-,-,35.6,0.68,0.59,-,36.2,36.7,0.01,0.01,-19.77,-0.86,-,-,28.1,,-,40.6,196.2,1186.1,,Sep 01 e9e6O,-20.14,0.83,0.0,25.7,13.21,-17.8,-18.4,-16.2,9.3,,,,-24.37,273130000.0,255280000.0,7.97,8.09,-,2.17 - 6.74,-61.16,20.74,26.55,4.44,2520000.0,11161566.0,-13.82,-24.71,-14.1,-18.13,-59.44,-31.05,1.93,0.16,6.70 4.80,2.78,2.62,-5.76
NNOX,Nano-X Imaging Ltd.,Healthcare | Medical Devices | Israel,-,672030000.0,-76800000.0,5300000.0,5.03,1.7,-,,186.0,Yes,Yes,2.3,-,-,-,126.8,2.62,7.75,-,2.2,2.2,0.01,0.01,-7.68,-1.51,-1.59,-0.42,-4.3,10.3,-,,,,-32.2,Aug 16 e9e6O,0.46,15.34,0.0,20.9,49.55,-24.6,-29.5,-20.8,-97.6,,,,6.79,52190000.0,44210000.0,14.49,11.92,36.75,8.23 - 28.60,-53.88,60.27,45.86,0.48,537340.0,257185.0,-6.25,-6.52,38.26,33.91,-47.51,-9.28,-,0.87,5.34 6.75,12.87,13.19,2.49
NOC,Northrop Grumman Corporation,Industrials | Aerospace & Defense | USA,S&P 500,74310000000.0,5670000000.0,34960000000.0,87.84,7.5,6.92,1.45,88000.0,Yes,Yes,2.4,13.28,17.65,2.18,2.13,5.43,63.57,-,1.2,1.3,0.94,0.94,-1.19,35.92,27.02,6.11,128.8,9.24,,30.9,7.6,-3.8,-5.6,Jul 28 e9e6O,0.92,0.2,-5.65,84.6,0.4,13.5,44.3,14.3,20.9,10.4,16.2,17.8,10.05,155400000.0,154380000.0,0.95,1.96,509.53,344.89 - 497.20,-4.07,38.29,47.97,0.69,743300.0,509467.0,-1.69,-0.23,-0.3,1.79,29.5,23.22,0.61,9.98,1.80 1.84,480.32,476.95,-0.7
NOVA,Sunnova Energy International Inc.,Technology | Solar | USA,-,2790000000.0,-112300000.0,346700000.0,11.35,1.78,-,,736.0,Yes,Yes,1.9,-,-,-,8.05,2.1,13.41,-,1.3,1.7,3.19,3.07,-9.73,-0.99,-1.18,-0.22,56.6,9.3,-,,,120.7,42.9,Jul 27 Ae6C,3.37,0.8,-26.28,,9.14,-1.9,-9.3,-1.5,51.6,-15.6,-32.4,,3.71,114550000.0,101710000.0,18.4,5.73,38.95,12.47 - 46.40,-48.71,90.86,45.05,0.52,3260000.0,1700446.0,-5.52,-12.05,11.32,28.16,-35.99,-14.76,-,1.89,5.71 6.39,24.33,23.8,-2.18
NOW,"ServiceNow, Inc.",Technology | Software - Application | USA,S&P 500,86970000000.0,184000000.0,6600000000.0,20.87,19.15,-,,16881.0,Yes,Yes,1.7,479.59,46.99,18.07,13.18,20.82,22.68,43.01,1.1,1.1,0.35,0.35,-8.34,0.91,9.25,1.85,93.4,26.61,,19.6,33.5,24.3,-66.2,Jul 27 Ae6C,-6.96,0.1,-23.64,91.0,1.43,1.7,4.8,4.5,77.5,3.3,2.8,0.0,-17.54,200960000.0,-,,2.4,558.82,406.47 - 707.60,-38.59,6.9,38.21,0.96,1610000.0,1551622.0,-2.29,-11.86,-11.77,-20.58,-34.2,-33.06,0.94,16.7,3.27 3.02,430.56,434.51,0.92
NRIX,"Nurix Therapeutics, Inc.",Healthcare | Biotechnology | USA,-,771040000.0,-154500000.0,38700000.0,5.94,6.16,-,,242.0,Yes,Yes,1.7,-,-,-,19.92,2.7,2.6,-,4.2,4.2,0.0,0.0,-4.44,-3.46,-3.83,-0.93,-145.6,0.3,-,,,60.6,-67.9,-,0.54,0.2,-5.68,96.31,13.43,-34.3,-47.9,-34.5,,,,,-7.63,44900000.0,37560000.0,13.6,10.27,37.6,7.52 - 37.42,-57.17,113.16,48.88,0.69,497720.0,344954.0,3.89,-14.23,51.66,16.75,-49.05,-44.63,-,1.21,7.06 7.39,16.39,16.03,-2.2
NSIT,"Insight Enterprises, Inc.",Technology | Information Technology Services | USA,-,3130000000.0,263400000.0,10410000000.0,45.98,3.87,-,,11624.0,Yes,Yes,1.8,12.3,9.53,1.65,0.3,1.91,22.73,-,1.4,1.5,0.66,0.45,-5.67,7.15,9.23,1.89,22.2,6.27,,20.7,11.5,23.1,53.6,Aug 04 e9e6O,-2.77,0.4,,,0.84,5.4,17.2,13.8,15.0,3.7,2.5,0.0,-10.43,35080000.0,34530000.0,7.08,9.0,119.67,82.50 - 111.02,-20.81,6.58,35.82,0.98,271450.0,265180.0,-5.78,-7.02,-12.2,-16.03,-12.55,-17.52,1.58,2.26,2.21 2.25,89.06,87.92,-1.28
NTAP,"NetApp, Inc.",Technology | Computer Hardware | USA,S&P 500,15690000000.0,949000000.0,6450000000.0,2.99,15.63,2.0,2.81,12000.0,Yes,Yes,2.4,17.11,11.77,1.71,2.43,23.84,4.56,27.71,1.3,1.4,4.01,3.63,-3.24,4.17,6.06,1.34,26.7,9.65,,19.0,2.8,9.2,8.3,Aug 24 Ae6C,1.95,0.1,-17.98,92.8,-1.7,9.9,121.0,28.8,66.1,18.0,14.7,46.9,-9.83,220000000.0,216720000.0,2.39,3.46,88.67,61.26 - 96.82,-26.38,16.36,46.07,0.7,1500000.0,1040679.0,-4.91,-1.15,0.24,-11.29,-20.58,-22.51,1.17,1.95,2.33 2.20,72.16,71.28,-1.22
NTCT,"NetScout Systems, Inc.",Technology | Software - Infrastructure | USA,-,2230000000.0,40100000.0,874100000.0,26.32,5.17,-,,2331.0,Yes,Yes,3.2,58.08,14.17,32.63,2.55,1.17,5.96,8.95,1.3,1.4,0.1,0.1,-6.44,0.53,2.17,0.49,82.3,8.98,,5.9,-5.9,9.7,35.9,Aug 04 e9e6O,-7.66,0.9,-6.18,99.8,1.43,1.3,2.0,1.7,75.1,5.7,4.6,0.0,-5.34,72450000.0,68570000.0,4.82,6.41,35.33,26.01 - 37.68,-18.31,18.36,29.76,1.03,515760.0,533617.0,-5.35,-10.7,-13.34,-2.78,13.12,-6.95,0.63,0.71,2.02 1.99,31.22,30.78,-1.41
NTES,"NetEase, Inc.",Communication Services | Internet Content & Information | China,-,57880000000.0,2600000000.0,13510000000.0,22.29,24.7,1.55,1.75,32064.0,Yes,Yes,2.0,22.64,2.46,2.36,4.29,3.97,3.58,21.29,2.2,2.2,0.31,0.03,-0.76,3.91,35.99,7.33,39.0,13.13,,6.7,20.8,12.8,35.0,Aug 18 e9e6O,-2.52,45.0,0.0,17.4,-14.22,11.8,19.7,10.6,54.1,20.2,19.9,0.0,-7.44,654940000.0,647960000.0,0.79,2.72,122.73,68.62 - 118.19,-25.1,29.0,47.15,0.63,1890000.0,1192244.0,-1.71,-0.54,-13.55,3.53,-6.73,-13.03,0.44,3.28,2.80 3.30,88.13,88.52,0.44
NTLA,"Intellia Therapeutics, Inc.",Healthcare | Biotechnology | USA,-,4560000000.0,-400400000.0,45300000.0,11.61,10.74,-,,485.0,Yes,Yes,1.8,-,-,-,100.63,4.82,5.21,-,7.2,7.2,0.0,0.0,-9.21,-5.36,-5.97,-1.29,-57.6,-1.9,,-21.6,14.9,112.1,-31.5,Aug 04 e9e6O,-9.26,1.1,-0.28,88.2,4.14,-32.4,-40.2,,,,,,-25.2,75820000.0,68620000.0,10.16,5.42,120.78,37.08 - 180.59,-68.99,51.05,41.81,0.84,1290000.0,1075247.0,-4.66,-14.4,23.62,-13.88,-67.81,-52.63,2.01,4.46,6.04 6.59,59.97,56.01,-6.6
NTNX,"Nutanix, Inc.",Technology | Software - Infrastructure | USA,-,5010000000.0,-797500000.0,1580000000.0,-3.24,5.65,-,,6080.0,Yes,Yes,2.4,-,190.79,-,3.17,-,3.85,-,1.5,1.5,-,-,20.08,-3.65,0.11,-0.21,-11.7,28.6,-,-15.3,22.6,17.2,15.7,Aug 31 Ae6C,33.55,0.4,-15.41,79.7,3.67,-44.2,128.8,,79.7,-39.2,-64.3,,-8.06,222470000.0,218530000.0,3.29,2.86,27.9,13.44 - 44.50,-51.12,61.83,68.14,2.1,2520000.0,5278581.0,19.9,29.31,32.95,-13.03,-46.16,-31.73,1.36,1.14,6.26 4.40,22.34,21.75,-2.64
NU,Nu Holdings Ltd.,Financial | Banks - Diversified | Brazil,-,22720000000.0,-175100000.0,3150000000.0,1.01,0.23,-,,6068.0,Yes,Yes,2.4,-,62.53,-,7.21,4.89,21.05,-,-,-,2.91,0.1,4.23,-0.04,0.08,0.01,3.8,1028.57,-,,,244.4,-92.4,Aug 15 Ae6C,13.86,8.21,0.0,67.9,-1.66,-0.8,-4.4,-1.2,65.0,-6.4,-5.6,,-21.82,4680000000.0,3140000000.0,2.9,3.33,7.61,3.26 - 12.24,-59.64,51.53,56.23,1.0,27320000.0,27345485.0,0.0,5.78,9.78,-31.01,,-47.33,-,0.36,5.29 8.29,4.9,4.94,0.82
NUE,Nucor Corporation,Basic Materials | Steel | USA,S&P 500,34140000000.0,9000000000.0,42970000000.0,63.86,9.06,2.0,1.53,28800.0,Yes,Yes,2.9,4.0,10.59,0.1,0.79,2.05,14.43,5.11,1.4,2.6,0.44,0.39,-5.83,32.72,12.35,7.83,879.5,-59.54,,56.3,17.6,-25.4,16.7,Jul 21 e9e6O,4.22,0.6,-6.01,82.8,-0.9,32.4,60.5,36.4,33.7,28.8,20.9,5.5,3.61,263220000.0,260380000.0,3.09,3.81,129.53,88.50 - 187.90,-30.4,47.77,44.31,0.51,2110000.0,1080943.0,-6.92,-2.58,1.61,-5.72,13.45,14.57,1.41,4.66,3.58 2.88,130.4,130.78,0.29
NVAX,"Novavax, Inc.",Healthcare | Biotechnology | USA,-,2500000000.0,-1475800000.0,1290000000.0,-5.34,-,-,,1541.0,Yes,Yes,2.3,-,4.77,-,1.94,-,-,-,0.9,1.0,-,-,-23.73,-19.41,6.37,2.83,-222.5,116.51,,-2.5,136.9,-37.6,-37.4,Aug 08 Ae6C,-40.5,0.2,-7.06,44.6,1.82,-55.7,,,77.8,,,,-64.0,78140000.0,77850000.0,19.9,2.1,124.6,30.69 - 277.80,-89.06,-0.98,28.52,0.49,7380000.0,3600628.0,-13.66,-50.93,-45.7,-62.26,-87.94,-78.76,1.65,3.44,7.91 7.76,31.95,30.39,-4.88
NVDA,NVIDIA Corporation,Technology | Semiconductors | USA,S&P 500,347030000000.0,7740000000.0,29740000000.0,9.56,6.7,0.16,0.12,22473.0,Yes,Yes,2.0,44.74,30.41,1.91,11.67,14.28,20.37,59.19,3.1,3.6,0.46,0.41,-21.43,3.05,4.49,0.71,123.1,32.71,,43.1,31.3,3.0,-72.2,Aug 24 Ae6C,-19.34,0.3,-7.83,65.9,-0.44,17.8,30.8,26.2,60.4,26.9,26.0,5.2,-38.67,2500000000.0,2390000000.0,1.31,0.59,211.2,132.70 - 346.47,-60.61,2.84,28.74,1.4,52860000.0,74194871.0,-16.07,-28.98,-27.1,-40.5,-39.07,-53.6,1.69,8.81,5.16 4.58,139.37,136.47,-2.08
NVMI,Nova Ltd.,Technology | Semiconductor Equipment & Materials | Israel,-,2810000000.0,121600000.0,509800000.0,18.21,12.6,-,,819.0,Yes,Yes,1.5,24.83,19.66,0.77,5.51,5.33,7.71,28.11,4.1,5.0,0.37,0.37,-7.9,3.91,4.94,1.17,88.7,1.69,,54.9,20.5,44.9,42.2,Aug 04 e9e6O,-2.53,1.7,0.0,82.4,0.8,14.5,25.1,14.7,56.9,27.4,23.9,0.0,-12.06,28690000.0,28530000.0,3.36,8.35,133.83,81.63 - 149.15,-34.88,18.99,39.93,0.44,114930.0,50645.0,-7.62,-10.6,-10.72,-3.16,-3.26,-33.7,1.27,3.66,2.78 3.19,97.8,97.13,-0.69
NVTA,Invitae Corporation,Healthcare | Diagnostics & Research | USA,-,698690000.0,-3108600000.0,500800000.0,1.66,2.87,-,,2300.0,Yes,Yes,3.1,-,-,-,1.4,1.66,0.96,-,6.1,6.4,4.14,4.12,-27.21,-13.48,-1.64,-0.62,59.8,30.5,,9.9,79.0,17.5,,Aug 09 Ae6C,-8.58,1.4,-5.38,84.1,5.55,-72.9,-133.5,-7.7,21.9,,,,-64.94,232120000.0,215390000.0,19.38,2.22,2.71,1.83 - 32.93,-91.62,50.82,45.14,0.38,18820000.0,7141796.0,-13.48,31.43,-8.61,-66.34,-91.11,-81.93,1.58,0.68,9.87 29.80,2.97,2.76,-7.07
NWS,News Corporation,Communication Services | Broadcasting | USA,S&P 500,9930000000.0,-,10200000000.0,13.77,-,0.2,1.16,24000.0,Yes,Yes,-,-,-,-,0.97,1.26,-,-,-,-,-,-,-4.34,-1.46,-,-,,,-,,,6.7,3.8,Aug 08 Ae6C,1.17,39.37,-0.04,35.03,,,,,,,,,-13.69,195820000.0,118050000.0,0.82,1.59,27.03,15.18 - 24.75,-30.09,13.97,43.52,1.05,613260.0,642020.0,-2.32,-1.42,-0.97,-18.97,-22.25,-23.11,-,0.44,2.07 2.39,17.27,17.3,0.17
NWSA,News Corporation,Communication Services | Broadcasting | USA,S&P 500,9910000000.0,623000000.0,10380000000.0,14.05,3.12,0.2,1.18,25500.0,Yes,Yes,1.9,16.15,15.7,8.22,0.95,1.21,5.44,14.57,1.1,1.2,0.37,0.34,-4.65,1.05,1.08,0.17,89.1,17.65,,23.1,5.0,7.3,888.1,Aug 08 Ae6C,0.81,0.1,-12.31,99.7,0.99,3.7,7.5,6.7,50.7,7.8,6.0,19.0,-14.4,585300000.0,499960000.0,0.79,1.46,27.03,14.95 - 25.86,-34.43,13.44,42.58,0.78,2700000.0,2109089.0,-2.25,-2.42,-1.4,-20.08,-25.12,-23.98,1.3,0.46,1.95 2.64,16.92,16.96,0.24
NXGN,"NextGen Healthcare, Inc.",Healthcare | Health Information Services | USA,-,1180000000.0,-100000.0,603600000.0,6.35,0.58,-,,2655.0,Yes,Yes,2.4,-,16.97,-,1.95,2.68,29.16,25.28,1.2,1.2,0.0,0.0,-2.29,-0.0,1.0,0.23,-83.2,6.13,,-39.5,3.2,4.9,-60.0,Jul 26 Ae6C,-2.81,1.8,-7.09,77.5,0.64,0.0,0.0,0.7,49.8,0.7,0.0,,-7.34,67590000.0,55470000.0,1.83,2.93,22.38,13.64 - 21.87,-22.08,24.93,42.93,0.84,345710.0,290834.0,-1.73,0.06,-8.58,-14.07,10.94,-4.22,1.05,0.42,2.16 2.20,17.32,17.04,-1.62
NXPI,NXP Semiconductors N.V.,Technology | Semiconductors | Netherlands,S&P 500,43170000000.0,2450000000.0,12350000000.0,26.51,13.33,3.38,2.08,31000.0,Yes,Yes,2.2,17.73,11.84,1.6,3.5,6.13,12.18,14.52,1.7,2.1,0.0,1.6,-7.85,9.16,13.71,3.65,30.8,-2.52,,63.8,3.1,27.6,77.7,Jul 25 Ae6C,-4.15,0.1,0.05,95.5,3.04,11.6,36.6,13.4,56.3,26.7,19.8,30.4,-13.88,262580000.0,261930000.0,1.67,1.6,196.46,140.33 - 239.91,-32.31,15.72,37.55,0.62,2740000.0,1688814.0,-3.41,-11.87,-10.96,-7.97,-23.37,-28.71,1.5,5.76,3.07 3.22,164.4,162.39,-1.22
ODFL,"Old Dominion Freight Line, Inc.",Industrials | Trucking | USA,S&P 500,31040000000.0,1240000000.0,5980000000.0,31.45,3.69,1.2,0.44,23663.0,Yes,Yes,2.7,25.24,22.31,1.44,5.19,8.66,73.82,41.98,1.9,1.9,0.03,0.02,-8.49,10.79,12.2,3.13,56.5,3.05,,30.2,11.9,26.4,42.9,Jul 27 e9e6O,-3.31,0.1,-23.49,76.3,1.12,26.2,35.1,27.5,87.7,28.0,20.8,9.2,-8.38,113080000.0,97630000.0,3.96,4.67,289.28,231.31 - 373.58,-27.13,17.69,38.67,0.77,827810.0,638312.0,-4.7,-8.98,1.51,-14.48,-9.22,-24.04,1.06,9.35,3.42 2.78,277.71,272.23,-1.97
OKTA,"Okta, Inc.",Technology | Software - Infrastructure | USA,-,9560000000.0,-915700000.0,1600000000.0,34.64,16.74,-,,5776.0,Yes,Yes,1.9,-,-,-,5.97,1.87,3.86,276.34,2.4,2.4,0.4,0.4,-33.61,-5.89,-0.38,-0.24,-173.7,46.8,,-7.8,51.9,43.2,26.9,Aug 31 Ae6C,-33.94,0.2,-12.83,82.8,0.01,-10.1,-16.0,-9.9,68.9,-53.8,-57.2,,-56.02,157400000.0,148710000.0,4.95,2.21,119.24,58.12 - 276.30,-76.61,11.2,26.56,6.32,3330000.0,21025374.0,-30.86,-37.9,-34.31,-59.2,-76.22,-71.17,1.08,7.24,8.84 6.02,60.6,64.63,6.65
OLO,Olo Inc.,Technology | Software - Application | USA,-,1230000000.0,-36600000.0,165700000.0,4.42,2.84,-,,639.0,Yes,Yes,1.7,-,108.43,-,7.41,1.72,2.67,-,9.7,9.7,0.0,0.0,-17.19,-0.23,0.07,0.01,-66.7,59.09,-,,,27.0,-340.4,Aug 11 Ae6C,-26.14,2.4,-3.61,91.23,13.79,-4.9,-5.4,-3.3,73.7,-25.8,-22.1,,-46.83,160430000.0,94180000.0,13.32,6.55,12.6,7.16 - 38.88,-80.48,6.01,34.35,0.49,1920000.0,931361.0,-1.43,-45.98,-29.33,-38.59,-79.51,-63.53,-,0.63,4.17 5.85,7.62,7.59,-0.39
ON,ON Semiconductor Corporation,Technology | Semiconductors | USA,S&P 500,29560000000.0,1720000000.0,7620000000.0,12.41,4.09,-,,30000.0,Yes,Yes,2.0,17.49,13.66,0.91,3.88,5.44,16.5,22.39,1.9,2.8,0.6,0.57,-3.12,3.86,4.94,1.32,306.8,-3.46,,39.3,11.5,24.9,146.0,Aug 01 e9e6O,9.15,0.3,-5.66,98.4,8.58,17.4,36.1,14.6,46.6,27.7,22.6,0.0,11.95,434200000.0,431540000.0,5.21,2.3,76.04,41.88 - 76.78,-12.07,61.2,49.55,0.68,9780000.0,6637277.0,-5.69,-0.79,7.26,15.74,48.7,-0.6,1.8,3.41,4.45 4.60,68.22,67.51,-1.04
ONEM,"1Life Healthcare, Inc.",Healthcare | Health Information Services | USA,-,3400000000.0,-358700000.0,891500000.0,8.35,1.78,-,,3090.0,Yes,Yes,2.7,-,-,-,3.81,2.08,9.77,-,2.6,2.6,0.19,0.19,1.08,-1.96,-1.73,-0.46,-118.7,9.5,-,,,112.5,-59.8,Aug 03 Ae6C,21.83,0.1,-0.2,86.8,6.76,-13.7,-21.0,-11.9,19.3,-40.2,-40.2,,42.31,194490000.0,178120000.0,5.0,1.67,17.75,5.94 - 25.50,-31.76,192.93,70.57,0.45,5340000.0,2378345.0,0.06,2.96,110.4,71.6,-27.77,-0.97,-,0.17,1.06 0.91,17.34,17.4,0.35
ONVO,"Organovo Holdings, Inc.",Healthcare | Diagnostics & Research | USA,-,19890000.0,-12100000.0,1500000.0,3.17,3.04,-,,14.0,Yes,Yes,3.0,-,-,-,13.26,0.73,0.76,-,21.0,21.0,0.0,0.0,-19.35,-1.39,-,-,46.0,,-,30.1,-18.7,,-26.8,-,-15.13,0.98,0.0,17.8,-0.58,-36.0,-39.3,-38.0,,,,,-28.14,8710000.0,8630000.0,2.82,2.37,-,1.71 - 8.13,-71.59,35.09,34.3,0.32,102350.0,32964.0,-10.12,-22.48,-1.28,-40.92,-71.23,-36.36,1.13,0.24,10.08 9.73,2.28,2.31,1.32
OPEN,Opendoor Technologies Inc.,Real Estate | Real Estate Services | USA,-,2690000000.0,-273800000.0,15440000000.0,3.77,3.77,-,,2816.0,Yes,Yes,2.3,-,-,-,0.17,1.09,1.09,-,0.9,2.8,3.19,1.75,-20.28,-0.45,-0.58,-0.41,-138.8,-64.3,,-67.4,88.3,254.1,64.6,Aug 04 Ae6C,-20.43,7.0,-2.46,72.9,3.92,-3.0,-11.8,-6.1,9.7,-0.1,-1.8,,-53.09,624960000.0,526280000.0,12.99,3.87,8.83,4.11 - 25.33,-83.81,-0.24,34.67,1.03,17670000.0,18121742.0,-11.06,-12.77,-45.48,-39.35,-77.92,-71.94,-,0.38,6.20 7.61,4.28,4.1,-4.21
ORCL,Oracle Corporation,Technology | Software - Infrastructure | USA,S&P 500,200670000000.0,6720000000.0,42440000000.0,-2.33,8.15,1.28,1.71,143000.0,Yes,Yes,2.7,31.12,12.68,2.58,4.73,-,9.16,127.73,-,1.6,-,-,-2.93,2.4,5.89,1.28,-47.0,12.26,,1.5,2.3,5.5,-15.2,Sep 12 Ae6C,0.43,43.2,-0.49,43.1,0.02,6.0,-101.2,14.4,79.1,25.7,15.8,51.4,-5.67,2670000000.0,1510000000.0,1.0,2.09,88.88,63.76 - 106.34,-29.77,17.13,44.23,1.51,7270000.0,10986780.0,0.04,-3.51,4.03,-2.37,-16.84,-14.37,0.87,1.36,1.96 1.57,75.3,74.68,-0.82
ORLY,"O'Reilly Automotive, Inc.",Consumer Cyclical | Specialty Retail | USA,S&P 500,44730000000.0,2140000000.0,13740000000.0,-17.01,3.99,-,,68679.0,Yes,Yes,2.1,22.19,19.77,2.36,3.26,-,176.19,18.35,0.1,0.7,-,-,-2.28,31.66,35.54,8.47,32.1,11.66,,23.7,9.2,5.9,5.4,Jul 27 Ae6C,1.84,0.4,-27.01,87.3,-2.89,18.1,-520.1,61.2,52.0,21.1,15.6,0.0,5.2,65120000.0,62600000.0,1.28,1.68,769.94,562.90 - 750.88,-6.42,24.84,47.42,0.87,479270.0,418954.0,0.56,-0.6,11.26,4.24,21.4,-0.5,0.99,13.19,1.70 1.71,706.47,702.7,-0.53
OSPN,OneSpan Inc.,Technology | Software - Application | USA,-,433240000.0,-18900000.0,216700000.0,5.09,2.45,-,,879.0,Yes,Yes,2.0,-,-,-,2.0,2.13,4.43,-,2.0,2.2,0.0,0.0,-6.01,-0.48,-0.17,-0.1,-466.6,42.3,,-37.5,2.2,1.0,-38.3,Aug 02 Ae6C,-5.73,0.5,16.99,83.6,1.26,-5.7,-8.6,-13.9,66.4,-11.7,-8.7,,-22.52,40160000.0,34900000.0,3.09,5.11,20.67,10.43 - 21.60,-49.77,4.03,38.6,1.26,211160.0,265390.0,-6.47,-0.37,-21.03,-16.99,-43.16,-35.91,0.56,0.49,4.88 3.75,10.94,10.85,-0.82
OTEX,Open Text Corporation,Technology | Software - Application | Canada,-,8180000000.0,397100000.0,3490000000.0,14.92,6.17,0.97,3.27,14800.0,Yes,Yes,1.8,20.39,8.7,-,2.34,2.0,4.83,12.56,1.6,1.6,1.05,1.04,-19.18,1.46,3.42,0.76,28.6,5.45,,-18.3,8.8,1.0,-43.2,Aug 04 Ae6C,-22.44,2.3,0.0,77.8,-0.51,4.0,9.7,6.0,69.6,17.7,11.4,60.4,-29.44,270210000.0,265070000.0,1.47,6.61,-,29.88 - 55.01,-45.88,-0.37,20.93,2.52,590900.0,1488411.0,-6.65,-28.49,-26.77,-29.69,-45.81,-37.3,0.99,1.22,3.44 2.86,30.29,29.77,-1.72
OXY,Occidental Petroleum Corporation,Energy | Oil & Gas E&P | USA,S&P 500,63710000000.0,10220000000.0,33860000000.0,19.24,1.47,0.52,0.76,11678.0,Yes,Yes,2.5,6.74,8.35,0.18,1.88,3.57,46.78,5.88,0.9,1.1,1.23,1.2,1.49,10.2,8.23,2.69,113.3,-22.32,,29.1,20.7,78.3,,Aug 02 Ae6C,8.3,0.2,,79.8,-2.48,13.6,77.1,8.6,66.8,33.9,30.1,2.6,33.26,939200000.0,922200000.0,6.95,2.38,76.17,24.39 - 77.13,-10.84,181.96,52.23,0.84,27000000.0,22730497.0,-6.5,19.68,-2.16,22.48,158.73,137.22,1.86,3.23,4.14 4.32,68.4,68.77,0.54
